Locus,Total_Raw_Height,Final_Weight,Contributor_1_P,Contributor_2_P,Contributor_3_P
D8S1179,598.0,0.06802569810023161,0.26700426065486926,0.30434690519990204,0.4286488341452287
D21S11,462.0,0.059792044416265136,0.12163260578183736,0.3331396046243929,0.5452277895937697
D7S820,462.0,0.059792044416265136,0.10822593648211776,0.41775981266382534,0.4740142508540569
CSF1PO,327.0,0.05030327857992258,0.09014144160779167,0.33877442770573574,0.5710841306864727
D3S1358,592.0,0.06768357171621794,0.24605810811817316,0.35416657734600887,0.39977531453581794
TH01,682.0,0.07264648447554753,0.11431902796364271,0.35700269609743046,0.5286782759389269
D13S317,654.0,0.07113957879955851,0.24388351533460234,0.3685016407282923,0.38761484393710544
D16S539,621.0,0.0693215421214913,0.1295916723712073,0.340533327460358,0.5298750001684346
D2S1338,699.0,0.07354632951394904,0.2732448768401967,0.3541062799151769,0.3726488432446263
D19S433,409.0,0.056257971582715276,0.2234065844326129,0.22340658443261335,0.5531868311347737
vWA,409.0,0.056257971582715276,0.0012320636266712711,0.2840391381442093,0.7147287982291195
TPOX,614.0,0.06892973373938384,0.22774407405849895,0.33684996042189114,0.43540596551960986
D18S51,358.0,0.05263370338144931,0.02516568159770929,0.43200963042623947,0.5428246879760513
AMEL,592.0,0.06768357171621794,1.6653345369377348e-16,0.4999999999999998,0.5
D5S818,433.0,0.05788504343644692,0.15271362254241197,0.15271362254241214,0.694572754915176
FGA,299.0,0.04810143242162261,0.2551827274038164,0.3157186669428773,0.4290986056533062
