Locus,Total_Raw_Height,Final_Weight,Contributor_1_P,Contributor_2_P,Contributor_3_P,Contributor_4_P,Contributor_5_P
D8S1179,944.0,0.07607186958208462,0.31652546660986164,0.04894093034783688,0.3451268993338638,0.21567768500846424,0.07372901869997356
D21S11,436.0,0.05169890412268338,0.1995412842738143,0.1642856332398661,0.24456085990795923,0.19724770574161293,0.1943645168367475
D7S820,313.0,0.04380364609220044,0.22320287844821635,0.16174120237113063,0.23087061097671044,0.19400959480301716,0.1901757134009256
CSF1PO,228.0,0.03738569995795322,0.2688790569494693,0.08504905510360741,0.4539473470016879,0.0960622704726178,0.09606227047261753
D3S1358,1013.0,0.07880301163771405,0.2113770991819255,0.016535045766367655,0.554047382923887,0.20150542636145233,0.016535045766367665
TH01,1119.0,0.08282341546787615,0.26753795848272677,0.13367068569720517,0.2976563749920287,0.15583111459268775,0.14530386623535158
D13S317,774.0,0.06888244799993976,0.2789559037692485,0.06239542774423598,0.3633720934943296,0.23073401780345845,0.06454255718872756
D16S539,529.0,0.056946354678709434,0.250708888624337,0.12299148687053507,0.30174859249468816,0.2015595451399047,0.12299148687053513
D2S1338,504.0,0.055584456165245724,0.2977716231174845,0.11294267492566414,0.2994506130715255,0.14888579125962986,0.1409492976256961
D19S433,1149.0,0.08392630578414093,0.14708442069847932,0.0704960762415152,0.5648390061200103,0.14708442069847902,0.0704960762415162
vWA,552.0,0.058171147587786506,0.24311589003413728,0.10960146999423277,0.28876808891129996,0.20326088314222193,0.15525366791810816
TPOX,630.0,0.062145311238923355,0.21785715821302623,0.09424602088965242,0.3892857144026876,0.20436508560498035,0.0942460208896534
D18S51,385.0,0.0485812245390297,0.2289958935904315,0.04156773313253508,0.4056090422666767,0.2134168311063194,0.11041049990403713
AMEL,1004.0,0.07845216789439975,1.3877787807814457e-16,0.0,0.9999999999999998,1.3877787807814457e-16,2.7755575615628914e-17
D5S818,681.0,0.06461177151848911,0.20276552481935795,0.1477606335085005,0.265969097610102,0.19542348781784638,0.18808125624419328
FGA,443.0,0.05211226573282376,0.16901806669225466,0.08225168945637402,0.49858915829508377,0.16788939609991266,0.08225168945637489
