Locus,Total_Raw_Height,Final_Weight,Contributor_1_P,Contributor_2_P,Contributor_3_P
D8S1179,366.0,0.08574774953944839,0.2821028798306793,0.3504101569651433,0.3674869632041774
D21S11,187.0,0.06129188687189207,0.313042877482982,0.32565231188217925,0.3613048106348387
D7S820,79.0,0.03983783547511584,0.23258891567674866,0.33226189112742294,0.43514919319582845
CSF1PO,105.0,0.04592792636720925,0.004761292634876074,0.2976181968809432,0.6976205104841806
D3S1358,346.0,0.08337200337760764,0.3333333333333333,0.3333333333333333,0.3333333333333333
TH01,204.0,0.06401728797456469,0.22548165811843732,0.35784507604430243,0.41667326583726033
D13S317,210.0,0.0649518963601802,0.19174932173560377,0.21650132689941104,0.5917493513649852
D16S539,182.0,0.06046692480477056,0.25002549284983294,0.31313523870234383,0.4368392684478232
D2S1338,110.0,0.04700873133113499,0.17273040200793793,0.3393918944307861,0.487877703561276
D19S433,298.0,0.07737315747643918,0.18456851542327338,0.22035737381750992,0.5950741107592168
vWA,171.0,0.058611150075813176,0.16968065241752445,0.31578233217031854,0.514537015412157
TPOX,196.0,0.06274949336898812,0.1969376793220236,0.2894348403218701,0.5136274803561063
D18S51,134.0,0.051884135783723084,0.29848706708531786,0.33954283583450656,0.3619700970801755
AMEL,260.0,0.07227179844513326,0.06923248379755273,0.06923248379755387,0.8615350324048935
D5S818,261.0,0.07241064929061315,0.16858599680432998,0.34099388893779453,0.49042011425787546
FGA,135.0,0.05207737345736651,0.16428700905048277,0.39192788590971983,0.44378510503979735
