Locus,Total_Raw_Height,Final_Weight,Contributor_1_P,Contributor_2_P,Contributor_3_P,Contributor_4_P
D8S1179,800.0,0.07240979675285036,0.361421701140616,0.17149484856975675,0.3894115997979856,0.07767185049164155
D21S11,464.0,0.05514565827114295,0.292744916070977,0.2652654065775927,0.3202185771243749,0.12177110022705537
D7S820,460.0,0.05490744697059527,0.3152176862516434,0.30217391176306135,0.3543463479080268,0.028262054077268395
CSF1PO,580.0,0.06165472027912459,0.2514367846287287,0.2511494258822514,0.2514367846287289,0.24597700486029098
D3S1358,579.0,0.06160154672867282,0.30915371461340485,0.14837698431055313,0.39472343108923136,0.1477458699868106
TH01,959.0,0.07927963436857338,0.370545197221466,0.10863064314940209,0.4153425518924077,0.10548160773672428
D13S317,671.0,0.06631527807323594,0.16236136282096345,0.16236136282096345,0.5317519107743056,0.14352536358376755
D16S539,735.0,0.06940583836532582,0.3221086015349806,0.17619180837300685,0.35748241740592174,0.14421717268609088
D2S1338,559.0,0.0605282668901079,0.18574858043249734,0.18574858043249606,0.5038755183023357,0.12462732083267092
D19S433,577.0,0.06149506169360583,0.26588661571887096,0.19916239309392977,0.3521087403334838,0.18284225085371544
vWA,513.0,0.05798437996078995,0.20760252805799947,0.20760252805799756,0.48732892038643977,0.09746602349756321
TPOX,738.0,0.06954733869236437,0.29896499280301764,0.15533351436133824,0.42953927668088865,0.11616221615475547
D18S51,483.0,0.05626339057922272,0.3264986409985693,0.20247468588849524,0.34309568357520503,0.1279309895377305
AMEL,561.0,0.06063644975907317,0.5000000000000001,0.0,0.4999999999999999,0.0
D5S818,413.0,0.052026829484542125,0.2905558528297915,0.16737286676219318,0.42917732126985,0.11289395913816531
FGA,564.0,0.0607983631307728,0.3210536500187357,0.26077211830202657,0.3361240439084721,0.08205018777076561
